ID,text,label
126,cast and crew for house at the end of the street,0000000000000000000000000000001000000000000000
127,cast and crew for the movie house at the end of the street,0000000000000000000000000000001000000000000000
128,who stars on the house at the end of the street,0000000000000000000000000000001000000000000000
129,who is in movie,0000000000000000000000000000001000000000000000
131,who is in movie,0000000000000000000000000000001000000000000000
132,who acts in forager,0000000000000000000000000000001000000000000000
133,who stars in forager,0000000000000000000000000000001000000000000000
134,who is the cast and crew for now forager,0000000000000000000000000000001000000000000000
137,list the actors in forager,0000000000000000000000000000001000000000000000
138,cast and crew of go,0000000000000000000000000000001000000000000000
139,who starred in go,0000000000000000000000000000001000000000000000
140,who was the lead actress in the hunger games,0000000000000000000000000000001000000000000000
141,show cast of movie request,0000000000000000000000000000001000000000000000
142,what is the cast in resident evil retribution,0000000000000000000000000000001000000000000000
143,list me the actors for top gun,0000000000000000000000000000001000000000000000
144,who was the tin man in wizard of oz,0000000000000000000000000000001100000000000000
145,actress in hum tum,0000000000000000000000000000001000000000000000
148,who was the lead woman in the savages,0100000000000000000000000000001000000000000000
149,find the name of the actor who played jack in the movie titanic,0000000000000000000000000000001100000000000000
150,the name of the male lead in the movie titanic,0000000000000000000000000000001000000000000000
152,show me who played what role in go,0000000000000000000000000000001100000000000000
153,i cannot remember the name of the actor in pretty women,0000000000000000000000000000001000000000000000
154,what is the name of the actor who was in the parent trap,0000000000000000000000000000001000000000000000
155,find name of main actor in the movie the help,0000000000000000000000000000001000000000000000
156,looking for names of crew members of apollo thirteen,0000000000000000000000000000001000000000000000
157,i can't figure out the name of the lead guy in the avengers,0000000000000000000000000000001000000000000000
158,what were the names of the ladies in facts of life,0100000000000000000000000000001000000000000000
159,how old is steven spielberg,0000000000000000000000000000000000000000100000
160,when steven spielberg born,0000000000000000000000000000000000000000100000
161,what is tom cruise's birthday,0000000000000000000000000000000000000000100000
162,when was tom cruise born,0000000000000000000000000000000000000000100000
163,when is will ferrell's birthday,0000000000000000000000000000000000000000100000
164,how old is kristen stewart,0000000000000000000000000000000000000000100000
167,what was the dark night budget,0000000000000010000000000000000000000000000000
169,budget for the blind side,0000000000000010000000000000000000000000000000
170,i want to look up the budget of freedom writers,0000000000000010000000000000000000000000000000
171,i would like to look up the budget of freedom writers,0000000000000010000000000000000000000000000000
172,look for the budget of freedom writers,0000000000000010000000000000000000000000000000
173,how much was hunger games made for,0000000000000010000000000000000000000000000000
175,how much did black swan cost,0000000000000010000000000000000000000000000000
177,what was the budget for black swan,0000000000000010000000000000000000000000000000
181,budget for titanic,0000000000000010000000000000000000000000000000
182,budget for titanic,0000000000000010000000000000000000000000000000
183,budget for titanic movie,0000000000000010000000000000000000000000000000
184,how much did titanic cost to make,0000000000000010000000000000000000000000000000
185,how much was the total budget for the titanic,0000000000000010000000000000000000000000000000
186,what was titanic's budget,0000000000000010000000000000000000000000000000
187,what was the budget for courageous,0000000000000010000000000000000000000000000000
188,what was the budget for facing the giants,0000000000000010000000000000000000000000000000
189,budget of heroine,0000000000000010000000000000000000000000000000
191,looking of movie heroine's budget,0000000000000010000000000000000000000000000000
192,what is the buget of movie heroine,0000000000000010000000000000000000000000000000
193,how much did it cost to make jurassic park,0000000000000010000000000000000000000000000000
194,what was the budget for jurassic park,0000000000000010000000000000000000000000000000
195,how much did james cameron have to spend to make avatar,0000000000000110000000000000000000000000000000
196,avatar must have cost a bundle,0000000000000010000000000000000000000000000000
198,get me info on the budget for avatar,0000000000000010000000000000000000000000000000
200,how much did the studio spend to make avatar,0000000000000010000000000000000000000000000000
202,i need to know the budget of the movie avatar,0000000000000010000000000000000000000000000000
203,i want to know the avatar's budget,0000000000000010000000000000000000000000000000
204,list the budget for avatar,0000000000000010000000000000000000000000000000
205,show me what was the budget of the movie avatar,0000000000000010000000000000000000000000000000
206,what did the movie avatar cost to make,0000000000000010000000000000000000000000000000
208,what was the budget for avatar,0000000000000010000000000000000000000000000000
210,what was the budget for avatar,0000000000000010000000000000000000000000000000
211,what was the budget for the movie avatar,0000000000000010000000000000000000000000000000
212,what was the budget of the movie avatar,0000000000000010000000000000000000000000000000
213,how much did the movie avatar cost,0000000000000010000000000000000000000000000000
214,how much money was spent on batman,0000000000000010000000000000000000000000000000
215,tell me the budget for the movie batman,0000000000000010000000000000000000000000000000
217,how much was it to make the film batman begins,0000000000000010000000000000000000000000000000
218,budget for the avengers,0000000000000010000000000000000000000000000000
220,what was the budget for the avengers,0000000000000010000000000000000000000000000000
222,find out the budget of cujo,0000000000000010000000000000000000000000000000
223,budget for gone with the wind,0000000000000010000000000000000000000000000000
225,gone with the wind's budget,0000000000000010000000000000000000000000000000
226,show me the budget for the movie,0000000000000010000000000000000000000000000000
227,budget for the hulk,0000000000000010000000000000000000000000000000
228,budget request for my big fat greek wedding,0000000000000010000000000000000000000000000000
229,find the budget of my big fat greek wedding,0000000000000010000000000000000000000000000000
230,how much did my big fat greek wedding cost,0000000000000010000000000000000000000000000000
231,what was the budget of my big fat greek wedding,0000000000000010000000000000000000000000000000
233,what was the bourne identity's budget,0000000000000010000000000000000000000000000000
234,how much did it cost to produce the deer hunter,0000000000000010000000000000000000000000000000
235,provide the cost for producing the deer hunter,0000000000000010000000000000000000000000000000
236,will you show the cost to produce the deer hunter,0000000000000010000000000000000000000000000000
237,what was the budget for the hobbit,0000000000000010000000000000000000000000000000
238,can i see what the lion king's budget was,0000000000000010000000000000000000000000000000
239,show me the lion king's budget,0000000000000010000000000000000000000000000000
240,what was the budget for passion of the christ,0000000000000010000000000000000000000000000000
241,what was the budget for top gun,0000000000000010000000000000000000000000000000
242,what was top gun's budget,0000000000000010000000000000000000000000000000
243,who does ellen degeneres play in finding nemo,0000000000000000000000000000001100000000000000
244,what character did tom hanks play in apollo thirteen,0000000000000000000000000000001100000000000000
245,lion king characters,0000000000000000000000000000000100000000000000
246,what character did will smith play in hitch,0000000000000000000000000000001100000000000000
247,what role did sarah polley play in go,0000000000000000000000000000001100000000000000
248,what was kevin james role in hitch,0000000000000000000000000000001100000000000000
249,who directed the music in gone with the wind,0000000000000000000001000000000000000000000000
250,show me the music composer for the movie,0000000000000000000001000000000000000000000000
251,who directed the musical score in barfi,0000000000000000000001000000000000000000000000
252,how many films did ed harris do with tom hanks,0000000000000000000000000000001000000000000000
253,how many movies were released on nine twenty eight twelve,0000000000000000010000000000000000000000000000
254,how many movies were filmed in asia,0000000000000000000100000000000000000000000000
255,how many films directed by barbra streisand have been shot in the czech republic,0000000000000100000100000000000000000000000000
258,how many movies did richard lester direct,0000000000000100000000000000000000000000000000
259,how many films has taye diggs been in,0000000000000000000000000000001000000000000000
260,how many movies has ray stark produced,0000000000000000000000100000000000000000000000
261,how many producers did the movie the hitch have,0000000000000000000000100000000000000000000000
263,how many movies has kristen stewart made,0000000000000000000000000000001000000000000000
264,i wonder how many movies alfred hitchcock was in that he directed,0000000000000100000000000000001000000000000000
265,how many movies has steven spielberg directed,0000000000000100000000000000000000000000000000
266,how many films did robert wise direct,0000000000000100000000000000000000000000000000
267,how many movies has tom cruise starred in,0000000000000000000000000000001000000000000000
268,how many movies did scorsese direct,0000000000000100000000000000000000000000000000
269,how many movies has angelina jolie been in,0000000000000000000000000000001000000000000000
270,how many movies did victor fleming direct,0000000000000100000000000000000000000000000000
272,how many movies has darla anderson produced,0000000000000000000000100000000000000000000000
274,how many movies did hitchcock direct,0000000000000100000000000000000000000000000000
276,how many woody allen movies starred diane keaton,0000000000000100000000000000001000000000000000
278,how many movies are made in the united states,0000000000010000000000000000000000000000000000
279,where was footnote made,0000000000010000000000000000000000000000000000
280,what country did the flowers of war come from,0000000000010000000000000000000000000000000000
281,country of le havre,0000000000010000000000000000000000000000000000
282,what country does the movie kati patang comes from,0000000000010000000000000000000000000000000000
283,show me the name of the country for the movie thoda pyaar thoda magic,0000000000010000000000000000000000000000000000
285,i need to know the name of the country to which the movie kati patang belongs to,0000000000010000000000000000000000000000000000
286,show me the name of the country from which the movie kati patang comes,0000000000010000000000000000000000000000000000
287,can you tell me which country does thoda pyaar thoda magic belongs to,0000000000010000000000000000000000000000000000
288,give me the name of the country for the movie thoda pyaar thoda magic,0000000000010000000000000000000000000000000000
289,i need to know which country does the movie thoda pyaar thoda magic belongs to,0000000000010000000000000000000000000000000000
290,country that made a separation,0000000000010000000000000000000000000000000000
292,country of weekend,0000000000010000000000000000000000000000000000
293,i would like to search for what country cell 21 is from,0000000000010000000000000000000000000000000000
294,look for what country cell 21 is from,0000000000010000000000000000000000000000000000
295,what country is cell 21 from,0000000000010000000000000000000000000000000000
296,what country did black beauty come from,0000000000010000000000000000000000000000000000
298,tell me where is trainspotting from,0000000000010000000000000000000000000000000000
299,which country made elizabeth,0000000000010000000000000000000000000000000000
300,where was trainspotting made,0000000000010000000000000000000000000000000000
301,what country did shindler's list come from,0000000000010000000000000000000000000000000000
302,which country is this movie from,0000000000010000000000000000000000000000000000
303,show me where black swan is from,0000000000010000000000000000000000000000000000
305,what is the origin of casa blanca,0000000000010000000000000000000000000000000000
306,origin of gone with the wind,0000000000010000000000000000000000000000000000
308,where was rocky four filmed,0000000000010000000000000000000000000000000000
309,origin of spanglish,0000000000010000000000000000000000000000000000
310,movie made where,0000000000010000000000000000000000000000000000
314,is this a foreign film,0000000000010000000000000000000000000000000000
315,is this a foreign film,0000000000010000000000000000000000000000000000
316,what country was kinky boots made in,0000000000010000000000000000000000000000000000
317,what country is outside the law from,0000000000010000000000000000000000000000000000
318,what country produced the movie mirror,0000000000010000000000000000000000000000000000
319,what country does mirror come from,0000000000010000000000000000000000000000000000
320,what country does les miserable come from,0000000000010000000000000000000000000000000000
321,what is the origin country of mirror,0000000000010000000000000000000000000000000000
322,in what country was the movie mirror produced,0000000000010000000000000000000000000000000000
326,when does top gun come out,0000000000000000010000000000000000000000000000
327,when the movie top gun was released,0000000000000000010000000000000000000000000000
328,when did richard lester start directing,0000000000000100010000000000000000000000000000
329,when was in july released,0000000000000000010000000000000000000000000000
330,give me the release date for the little mermaid,0000000000000000010000000000000000000000000000
331,what date was spider released,0000000000000000010000000000000000000000000000
332,can you tell me when 24 will be released,0000000000000000010000000000000000000000000000
333,do you know when 24 will be released,0000000000000000010000000000000000000000000000
334,i want to know when 24 will be released,0000000000000000010000000000000000000000000000
335,when will 24 be released,0000000000000000010000000000000000000000000000
336,how will i know when the movie gone with the wind will be released,0000000000000000010000000000000000000000000000
337,please tell me when was the movie gone with the wind released,0000000000000000010000000000000000000000000000
338,please tell me when will the movie gone with the wind will be released,0000000000000000010000000000000000000000000000
339,when will the movie gone with the wind be released,0000000000000000010000000000000000000000000000
340,do you know when this movie is available,0000000000000000010000000000000000000000000000
341,what year was the movie released,0000000000000000010000000000000000000000000000
342,which decade did the movie come out,0000000000000000010000000000000000000000000000
343,which month was the movie released,0000000000000000010000000000000000000000000000
344,release day for the movie,0000000000000000010000000000000000000000000000
345,may i have the date of release for this movie,0000000000000000010000000000000000000000000000
346,release date for the vow,0000000000000000010000000000000000000000000000
347,when was black beauty released,0000000000000000010000000000000000000000000000
348,titanic release date,0000000000000000010000000000000000000000000000
349,when did lionsgate start making movies,0000000000000000010000010000000000000000000000
350,search when the birds will be released,0000000000000000010000000000000000000000000000
351,what year did spielberg start directing movies,0000000000000100010000000000000000000000000000
352,the godfather came out when,0000000000000000010000000000000000000000000000
353,when can i see the great gatsby,0000000000000000010000000000000000000000000000
355,when will the great gatsby be released,0000000000000000010000000000000000000000000000
356,when will jaws be released,0000000000000000010000000000000000000000000000
357,when will the hobbit be released,0000000000000000010000000000000000000000000000
358,what year was the hobbit relased,0000000000000000010000000000000000000000000000
359,what year did the movie grease open,0000000000000000010000000000000000000000000000
361,release date for little women,0000000000000000010000000000000000000000000000
363,can you please tell me when was karate kid released,0000000000000000010000000000000000000000000000
364,karate kid release date,0000000000000000010000000000000000000000000000
365,find release date for karate kid,0000000000000000010000000000000000000000000000
366,when did dirty dancing come out,0000000000000000010000000000000000000000000000
369,when was dirty dancing released,0000000000000000010000000000000000000000000000
370,when was overboard released,0000000000000000010000000000000000000000000000
371,what year did moon over parador come out,0000000000000000010000000000000000000000000000
372,release date for batman,0000000000000000010000000000000000000000000000
374,lion king release yr,0000000000000000010000000000000000000000000000
375,when was while you were sleeping released,0000000000000000010000000000000000000000000000
376,what year was ed harris in in apollo thirteen,0000000000000000010000000000001000000000000000
377,what was the date when welcome to the dollhouse was released,0000000000000000010000000000000000000000000000
379,what was the relase date for men in black,0000000000000000010000000000000000000000000000
380,when was life is beautiful released,0000000000000000010000000000000000000000000000
381,when was life is beautiful released,0000000000000000010000000000000000000000000000
382,when life is beautiful was released,0000000000000000010000000000000000000000000000
384,look up the release date of resident evil,0000000000000000010000000000000000000000000000
385,what is resident evil's release date,0000000000000000010000000000000000000000000000
386,when did resident evil come out,0000000000000000010000000000000000000000000000
387,when did resident evil debut in theaters,0000000000000000010000000000000000000000000000
389,when was the release date for the movie resident evil,0000000000000000010000000000000000000000000000
390,when was resident evil first in theatres,0000000000000000010000000000000000000000000000
391,when was the scooby do movie released,0000000000000000010000000000000000000000000000
392,when was finding nemo released,0000000000000000010000000000000000000000000000
393,release date for finding nemo,0000000000000000010000000000000000000000000000
394,when was finding nemo released,0000000000000000010000000000000000000000000000
395,when was finding nemo released,0000000000000000010000000000000000000000000000
396,in which date varsham movie released,0000000000000000010000000000000000000000000000
397,in which month varsham movie released,0000000000000000010000000000000000000000000000
398,release twilight,0000000000000000010000000000000000000000000000
399,frankenstein release,0000000000000000010000000000000000000000000000
400,frankenstein release date,0000000000000000010000000000000000000000000000
402,when was hum tum relesed,0000000000000000010000000000000000000000000000
403,i want to know when step up was released,0000000000000000010000000000000000000000000000
404,i would like to know when the movie step up was released,0000000000000000010000000000000000000000000000
405,when was step up released,0000000000000000010000000000000000000000000000
406,when was the movie step up released,0000000000000000010000000000000000000000000000
407,when did happiness get released,0000000000000000010000000000000000000000000000
408,when will paranormal activity be released,0000000000000000010000000000000000000000000000
409,avatar realease date,0000000000000000010000000000000000000000000000
410,avatar release,0000000000000000010000000000000000000000000000
412,when did the movie avatar get released,0000000000000000010000000000000000000000000000
413,when avatar released,0000000000000000010000000000000000000000000000
414,when was avatar released,0000000000000000010000000000000000000000000000
415,i need to know when was the movie avatar released,0000000000000000010000000000000000000000000000
416,what day avatar released,0000000000000000010000000000000000000000000000
417,what was the release date of the movie avatar,0000000000000000010000000000000000000000000000
418,when was avatar released,0000000000000000010000000000000000000000000000
419,what date was avatar released,0000000000000000010000000000000000000000000000
420,when was black swan in the theatre,0000000000000000010000000000000000000000000000
421,when was black swan released,0000000000000000010000000000000000000000000000
422,how long has black swan been out,0000000000000000010000000000000000000000000000
424,when can the help be released,0000000000000000010000000000000000000000000000
425,tell me when compliance came out,0000000000000000010000000000000000000000000000
426,when is sinister hitting theaters,0000000000000000010000000000000000000000000000
427,release date for the hunger games,0000000000000000010000000000000000000000000000
428,when was the first hunger games shown,0000000000000000010000000000000000000000000000
431,release date of snow white and the huntsman,0000000000000000010000000000000000000000000000
432,release date for amazing spiderman,0000000000000000010000000000000000000000000000
433,when will the next amazing spiderman come out,0000000000000000010000000000000000000000000000
434,when was the amazing spiderman released in the movie theatres,0000000000000000010000000000000000000000000000
435,search for the release date of vulgaria,0000000000000000010000000000000000000000000000
436,when did vulgaria come out,0000000000000000010000000000000000000000000000
437,when was the movie vulgaria released,0000000000000000010000000000000000000000000000
438,what date did vulgaria open,0000000000000000010000000000000000000000000000
440,what year was the godfather released,0000000000000000010000000000000000000000000000
441,release date for the watch,0000000000000000010000000000000000000000000000
442,when was paranorman be released,0000000000000000010000000000000000000000000000
444,when was the campaign released,0000000000000000010000000000000000000000000000
445,when was expendables 2 released,0000000000000000010000000000000000000000000000
447,what is the calendar date release for looper,0000000000000000010000000000000000000000000000
448,i would like to know the release date of the movie barfi,0000000000000000010000000000000000000000000000
449,i need to know the release date of the movie barfi,0000000000000000010000000000000000000000000000
450,what is the release date of the movie barfi,0000000000000000010000000000000000000000000000
451,show me the release date of the movie barfi,0000000000000000010000000000000000000000000000
452,find the release date for heroine,0000000000000000010000000000000000000000000000
453,please find the release date of heroine,0000000000000000010000000000000000000000000000
454,what is the release date of heroine,0000000000000000010000000000000000000000000000
455,when was herione released,0000000000000000010000000000000000000000000000
456,when was the movie heroine released,0000000000000000010000000000000000000000000000
457,when was house at the end of the street released,0000000000000000010000000000000000000000000000
459,what is the release date for house at the end of the street,0000000000000000010000000000000000000000000000
460,is iron man 3 in theatres yet,0000000000000000010000000000000000000000000000
461,when is iron man 3 coming out,0000000000000000010000000000000000000000000000
463,show me movies listed by directors,0000000000000100000000000000000000000000000000
464,director for gone with the wind,0000000000000100000000000000000000000000000000
465,show me the directors of gone with the wind,0000000000000100000000000000000000000000000000
466,who are the directors of gone with the wind,0000000000000100000000000000000000000000000000
468,who directed gone with the wind,0000000000000100000000000000000000000000000000
470,who directed the movie,0000000000000100000000000000000000000000000000
471,show me details about the directors of gone with the wind,0000000000000100000000000000000000000000000000
472,who directed black swan,0000000000000100000000000000000000000000000000
474,who made batman the dark knight,0000000000000100000000000000000000000000000000
475,tell me about inception's director,0000000000000100000000000000000000000000000000
476,show me the director of the film the dark knight,0000000000000100000000000000000000000000000000
478,who directed the movie the dark knight,0000000000000100000000000000000000000000000000
479,who filmed the dark knight,0000000000000100000000000000000000000000000000
480,who is the person that directed the film the dark knight,0000000000000100000000000000000000000000000000
481,which director directed a hard day's night,0000000000000100000000000000000000000000000000
482,who directed a hard day's night,0000000000000100000000000000000000000000000000
483,who directed a hard day's night,0000000000000100000000000000000000000000000000
484,who directed hard days night,0000000000000100000000000000000000000000000000
485,who directed cast away,0000000000000100000000000000000000000000000000
486,show me the director of forest gump,0000000000000100000000000000000000000000000000
487,who was the director of forest gump,0000000000000100000000000000000000000000000000
488,who is director of sleepless in seattle,0000000000000100000000000000000000000000000000
490,who directed the movie men in black 3,0000000000000100000000000000000000000000000000
491,who was the director in men in black 3,0000000000000100000000000000000000000000000000
492,can you tell me the director of the titanic,0000000000000100000000000000000000000000000000
493,director for titanic,0000000000000100000000000000000000000000000000
494,who was the director of the movie titanic,0000000000000100000000000000000000000000000000
495,display director of the movie avengers,0000000000000100000000000000000000000000000000
496,director of the avengers,0000000000000100000000000000000000000000000000
497,search director of the exorcist,0000000000000100000000000000000000000000000000
498,find the director for the social network,0000000000000100000000000000000000000000000000
499,find the director of big,0000000000000100000000000000000000000000000000
501,find the director for pretty woman,0000000000000100000000000000000000000000000000
502,who made godzilla,0000000000000100000000100000000000000000000000
503,rocky director,0000000000000100000000000000000000000000000000
504,who directed hope floats,0000000000000100000000000000000000000000000000
505,avatar was directed by whom,0000000000000100000000000000000000000000000000
506,director of avatar,0000000000000100000000000000000000000000000000
507,which director directed avatar,0000000000000100000000000000000000000000000000
510,who directed avatar,0000000000000100000000000000000000000000000000
511,who directed avatar,0000000000000100000000000000000000000000000000
513,who directed the movie called avatar,0000000000000100000000000000000000000000000000
514,who made the movie avatar,0000000000000100000000000000000000000000000000
515,who was the director of the movie avatar,0000000000000100000000000000000000000000000000
516,who directed star wars four,0000000000000100000000000000000000000000000000
517,who directed the movie in july,0000000000000100000000000000000000000000000000
518,who made steel magnolias,0000000000000100000000000000000000000000000000
519,the silence of the lambs director,0000000000000100000000000000000000000000000000
520,director of the incredibles,0000000000000100000000000000000000000000000000
521,gilda director,0000000000000100000000000000000000000000000000
522,list gilda director,0000000000000100000000000000000000000000000000
523,search director for gilda,0000000000000100000000000000000000000000000000
524,search gilda director,0000000000000100000000000000000000000000000000
526,who directed gilda,0000000000000100000000000000000000000000000000
527,who directed gilda,0000000000000100000000000000000000000000000000
528,who directed gilda,0000000000000100000000000000000000000000000000
529,who directed the movie gilda,0000000000000100000000000000000000000000000000
530,goodfellas director,0000000000000100000000000000000000000000000000
531,who made field of dreams,0000000000000100000000000000000000000000000000
532,who made the movie field of dreams,0000000000000100000000000000000000000000000000
533,who made the movie field of dreams possible,0000000000000100000000000000000000000000000000
534,can i please see more details for the director of finding nemo,0000000000000100000000000000000000000000000000
535,find the director for finding nemo,0000000000000100000000000000000000000000000000
536,i want to know the director of finding nemo,0000000000000100000000000000000000000000000000
538,show me finding nemo director,0000000000000100000000000000000000000000000000
539,who directed finding nemo,0000000000000100000000000000000000000000000000
540,who directed finding nemo,0000000000000100000000000000000000000000000000
542,who directed finding nemo,0000000000000100000000000000000000000000000000
543,who directed finding nemo,0000000000000100000000000000000000000000000000
545,who was the director of the film finding nemo,0000000000000100000000000000000000000000000000
546,who directed hitch,0000000000000100000000000000000000000000000000
547,who made hitch,0000000000000100000000000000000000000000000000
548,director for anne of green gables,0000000000000100000000000000000000000000000000
550,who was the director of movie varsham,0000000000000100000000000000000000000000000000
551,who directed grizzly man,0000000000000100000000000000000000000000000000
552,who directed to kill a mockingbird,0000000000000100000000000000000000000000000000
553,who was the director of the movie e t,0000000000000100000000000000000000000000000000
554,find the director for et,0000000000000100000000000000000000000000000000
556,who was the director of the movie jaws,0000000000000100000000000000000000000000000000
