ID,text,raw_text,label,raw_label
27,star of troy,star of troy,0000000000000000000000000000001000000000000000,movie.starring.actor
28,who played robin in batman|forever,who played robin in batman|forever,0000000000000000000000000000001100000000000000,movie.starring.actor movie.starring.character
29,find the male actor from dirty|harry,find the male actor from dirty|harry,0100000000000000000000000000001000000000000000,movie.starring.actor actor.gender
30,show me the actor of the ranam,show me the actor of the ranam,0000000000000000000000000000001000000000000000,movie.starring.actor
31,rocky actor,rocky actor,0000000000000000000000000000001000000000000000,movie.starring.actor
32,what actor played in the amazing|spiderman,what actor played in the amazing|spiderman,0000000000000000000000000000001000000000000000,movie.starring.actor
33,who are the actors in captain|america,who are the actors in captain|america,0000000000000000000000000000001000000000000000,movie.starring.actor
34,who starred in captain|america,who starred in captain|america,0000000000000000000000000000001000000000000000,movie.starring.actor
35,who was in the movie captain|america,who was in the movie captain|america,0000000000000000000000000000001000000000000000,movie.starring.actor
36,who were the cast members in the hobbist,who were the cast members in the hobbist,0000000000000000000000000000001000000000000000,movie.starring.actor
37,show me the actor of the movie varsham,show me the actor of the movie varsham,0000000000000000000000000000001000000000000000,movie.starring.actor
38,which female actors starred in hitch,which female actors starred in hitch,0100000000000000000000000000001000000000000000,movie.starring.actor actor.gender
39,can i see the cast and crew for the movie in|july,can i see the cast and crew for the movie in|july,0000000000000000000000000000001000000000000000,movie.starring.actor
40,list cast and crew in|july,list cast and crew in|july,0000000000000000000000000000001000000000000000,movie.starring.actor
41,who stars in in|july,who stars in in|july,0000000000000000000000000000001000000000000000,movie.starring.actor
42,who stars in in|july,who stars in in|july,0000000000000000000000000000001000000000000000,movie.starring.actor
43,roll credits for top|gun,roll credits for top|gun,0000000000000000000000000000001000000000000000,movie.starring.actor
44,show me the actor of the movie sirisiri muvva,show me the actor of the movie sirisiri muvva,0000000000000000000000000000001000000000000000,movie.starring.actor
45,rocky|2 actor,rocky|2 actor,0000000000000000000000000000001000000000000000,movie.starring.actor
46,who is chewbakka,who is chewbakka,0000000000000000000000000000001100000000000000,movie.starring.actor movie.starring.character
47,who stared in i|love|lucy,who stared in i|love|lucy,0000000000000000000000000000001000000000000000,movie.starring.actor
48,apollo|13 cast members,apollo|13 cast members,0000000000000000000000000000001000000000000000,movie.starring.actor
49,can you tell me more about the cast and crew of the movie apollo|13,can you tell me more about the cast and crew of the movie apollo|13,0000000000000000000000000000001000000000000000,movie.starring.actor
50,cast and crew for apollo|13,cast and crew for apollo|13,0000000000000000000000000000001000000000000000,movie.starring.actor
51,castmembers of apollo|13,castmembers of apollo|13,0000000000000000000000000000001000000000000000,movie.starring.actor
52,complete cast and crew of apollo|13,complete cast and crew of apollo|13,0000000000000000000000000000001000000000000000,movie.starring.actor
53,find for information about the cast of apollo|13,find for information about the cast of apollo|13,0000000000000000000000000000001000000000000000,movie.starring.actor
54,find info on the crew of apollo|13,find info on the crew of apollo|13,0000000000000000000000000000001000000000000000,movie.starring.actor
55,give me more facts about the cast and crew of the movie apollo|13,give me more facts about the cast and crew of the movie apollo|13,0000000000000000000000000000001000000000000000,movie.starring.actor
56,i need to know in detail about the cast and crew of the movie apollo|13,i need to know in detail about the cast and crew of the movie apollo|13,0000000000000000000000000000001000000000000000,movie.starring.actor
57,i want to find information about the cast of apollo|13,i want to find information about the cast of apollo|13,0000000000000000000000000000001000000000000000,movie.starring.actor
58,show me more information about the cast and crew of the movie apollo|13,show me more information about the cast and crew of the movie apollo|13,0000000000000000000000000000001000000000000000,movie.starring.actor
59,what actors were in dirty|dancing,what actors were in dirty|dancing,0000000000000000000000000000001000000000000000,movie.starring.actor
60,show me the actors in captain|america,show me the actors in captain|america,0000000000000000000000000000001000000000000000,movie.starring.actor
61,show me gilda's credits,show me gilda's credits,0000000000000000000000000000001000000000000000,movie.starring.actor
62,i can't remember the lead guy in the avengers,i can't remember the lead guy in the avengers,0000000000000000000000000000001000000000000000,movie.starring.actor
63,show cast list for the avergers,show cast list for the avergers,0000000000000000000000000000001000000000000000,movie.starring.actor
64,who plays nemo in finding|nemo,who plays nemo in finding|nemo,0000000000000000000000000000001100000000000000,movie.starring.actor movie.starring.character
65,find cast and crew for the movie finding|nemo,find cast and crew for the movie finding|nemo,0000000000000000000000000000001000000000000000,movie.starring.actor
66,show me the cast and crew for finding|nemo,show me the cast and crew for finding|nemo,0000000000000000000000000000001000000000000000,movie.starring.actor
67,show me the cast of finding|nemo,show me the cast of finding|nemo,0000000000000000000000000000001000000000000000,movie.starring.actor
68,who are the main voices in finding|nemo,who are the main voices in finding|nemo,0000000000000000000000000000001000000000000000,movie.starring.actor
69,who starred in finding|nemo,who starred in finding|nemo,0000000000000000000000000000001000000000000000,movie.starring.actor
70,who stars in finding|nemo,who stars in finding|nemo,0000000000000000000000000000001000000000000000,movie.starring.actor
71,who was the main character in men|in|black|3,who was the main character in men|in|black|3,0000000000000000000000000000001000000000000000,movie.starring.actor
72,can i see the credits for dirty|dancing,can i see the credits for dirty|dancing,0000000000000000000000000000001000000000000000,movie.starring.actor
73,cast of dirty|dancing,cast of dirty|dancing,0000000000000000000000000000001000000000000000,movie.starring.actor
74,find cast and crew for dirty|dancing,find cast and crew for dirty|dancing,0000000000000000000000000000001000000000000000,movie.starring.actor
75,search cast and crew for dirty|dancing,search cast and crew for dirty|dancing,0000000000000000000000000000001000000000000000,movie.starring.actor
76,search for the cast and crew for the movie dirty|dancing,search for the cast and crew for the movie dirty|dancing,0000000000000000000000000000001000000000000000,movie.starring.actor
77,show me the cast and list for dirty|dancing,show me the cast and list for dirty|dancing,0000000000000000000000000000001000000000000000,movie.starring.actor
78,who starred in dirty|dancing,who starred in dirty|dancing,0000000000000000000000000000001000000000000000,movie.starring.actor
79,who starred in dirty|dancing,who starred in dirty|dancing,0000000000000000000000000000001000000000000000,movie.starring.actor
80,who were the stars of dirty|dancing,who were the stars of dirty|dancing,0000000000000000000000000000001000000000000000,movie.starring.actor
81,who was the male star of titanic,who was the male star of titanic,0100000000000000000000000000001000000000000000,movie.starring.actor actor.gender
82,who starred in taxi,who starred in taxi,0000000000000000000000000000001000000000000000,movie.starring.actor
83,who played in the oranges,who played in the oranges,0000000000000000000000000000001000000000000000,movie.starring.actor
84,actors for life|is|beautiful,actors for life|is|beautiful,0000000000000000000000000000001000000000000000,movie.starring.actor
85,who are the lead actors in life|is|beautiful,who are the lead actors in life|is|beautiful,0000000000000000000000000000001000000000000000,movie.starring.actor
86,find the male actor from the movie born|free,find the male actor from the movie born|free,0100000000000000000000000000001000000000000000,movie.starring.actor actor.gender
87,actor from iron|man,actor from iron|man,0000000000000000000000000000001000000000000000,movie.starring.actor
88,shows actors in shoot|to|kill,shows actors in shoot|to|kill,0000000000000000000000000000001000000000000000,movie.starring.actor
89,which actors starred in hitch,which actors starred in hitch,0000000000000000000000000000001000000000000000,movie.starring.actor
90,who are all of the actors in hitch,who are all of the actors in hitch,0000000000000000000000000000001000000000000000,movie.starring.actor
91,who was the lead actor in hitch,who was the lead actor in hitch,0000000000000000000000000000001000000000000000,movie.starring.actor
92,who starred in dark|knight rising,who starred in dark|knight rising,0000000000000000000000000000001000000000000000,movie.starring.actor
93,who played nick fury in the avengers,who played nick fury in the avengers,0000000000000000000000000000001100000000000000,movie.starring.actor movie.starring.character
94,who was the lead actor in the avengers,who was the lead actor in the avengers,0000000000000000000000000000001000000000000000,movie.starring.actor
95,what was the cast of black|swan,what was the cast of black|swan,0000000000000000000000000000001000000000000000,movie.starring.actor
96,who acted in black|swan,who acted in black|swan,0000000000000000000000000000001000000000000000,movie.starring.actor
97,who was in black|swan,who was in black|swan,0000000000000000000000000000001000000000000000,movie.starring.actor
98,who was the lead in black|swan,who was the lead in black|swan,0000000000000000000000000000001000000000000000,movie.starring.actor
99,actors in star|wars four,actors in star|wars four,0000000000000000000000000000001000000000000000,movie.starring.actor
100,what was the actor who played esme in twilight,what was the actor who played esme in twilight,0000000000000000000000000000001100000000000000,movie.starring.actor movie.starring.character
101,who played esme in twilight,who played esme in twilight,0000000000000000000000000000001100000000000000,movie.starring.actor movie.starring.character
102,who starred in the|parent|trap,who starred in the|parent|trap,0000000000000000000000000000001000000000000000,movie.starring.actor
103,cast and crew for hitch,cast and crew for hitch,0000000000000000000000000000001000000000000000,movie.starring.actor
104,cast and crew of hitch,cast and crew of hitch,0000000000000000000000000000001000000000000000,movie.starring.actor
105,cast hitch,cast hitch,0000000000000000000000000000001000000000000000,movie.starring.actor
106,hitch crew,hitch crew,0000000000000000000000000000001000000000000000,movie.starring.actor
107,list cast hitch,list cast hitch,0000000000000000000000000000001000000000000000,movie.starring.actor
108,show me hitch's cast,show me hitch's cast,0000000000000000000000000000001000000000000000,movie.starring.actor
109,show the cast of hitch,show the cast of hitch,0000000000000000000000000000001000000000000000,movie.starring.actor
110,what actors appeared in the movie hitch,what actors appeared in the movie hitch,0000000000000000000000000000001000000000000000,movie.starring.actor
111,what actors played in the movies hitch,what actors played in the movies hitch,0000000000000000000000000000001000000000000000,movie.starring.actor
112,what was the cast of hitch,what was the cast of hitch,0000000000000000000000000000001000000000000000,movie.starring.actor
113,who starred in hitch,who starred in hitch,0000000000000000000000000000001000000000000000,movie.starring.actor
114,who starred in the movie hitch,who starred in the movie hitch,0000000000000000000000000000001000000000000000,movie.starring.actor
115,who stars in hitch,who stars in hitch,0000000000000000000000000000001000000000000000,movie.starring.actor
116,who was in hitch,who was in hitch,0000000000000000000000000000001000000000000000,movie.starring.actor
117,who was in the movie hitch,who was in the movie hitch,0000000000000000000000000000001000000000000000,movie.starring.actor
118,who was the star in hitch,who was the star in hitch,0000000000000000000000000000001000000000000000,movie.starring.actor
119,voice actor for homer|simpson,voice actor for homer|simpson,0000000000000000000000000000001100000000000000,movie.starring.actor movie.starring.character
120,who is in the movie two|can|play|that|game,who is in the movie two|can|play|that|game,0000000000000000000000000000001000000000000000,movie.starring.actor
121,actress from gone|with|the|wind,actress from gone|with|the|wind,0000000000000000000000000000001000000000000000,movie.starring.actor
122,who are the lead actors in this movie,who are the lead actors in this movie,0000000000000000000000000000001000000000000000,movie.starring.actor
123,show me information on the cast and crew of pitchperfect,show me information on the cast and crew of pitchperfect,0000000000000000000000000000001000000000000000,movie.starring.actor
124,actors in house|at|the|end|of|the|street,actors in house|at|the|end|of|the|street,0000000000000000000000000000001000000000000000,movie.starring.actor
125,can i see the cast and crew for house|at|the|end|of|the|street,can i see the cast and crew for house|at|the|end|of|the|street,0000000000000000000000000000001000000000000000,movie.starring.actor
126,cast and crew for house|at|the|end|of|the|street,cast and crew for house|at|the|end|of|the|street,0000000000000000000000000000001000000000000000,movie.starring.actor
127,cast and crew for the movie house|at|the|end|of|the|street,cast and crew for the movie house|at|the|end|of|the|street,0000000000000000000000000000001000000000000000,movie.starring.actor
128,who stars on the|house|at|the|end|of|the|street,who stars on the|house|at|the|end|of|the|street,0000000000000000000000000000001000000000000000,movie.starring.actor
129,who is in movie,who is in movie,0000000000000000000000000000001000000000000000,movie.starring.actor
130,who is in movie,who is in movie,0000000000000000000000000000001000000000000000,movie.starring.actor
131,who is in movie,who is in movie,0000000000000000000000000000001000000000000000,movie.starring.actor
132,who acts in forager,who acts in forager,0000000000000000000000000000001000000000000000,movie.starring.actor
133,who stars in forager,who stars in forager,0000000000000000000000000000001000000000000000,movie.starring.actor
134,who is the cast and crew for now forager,who is the cast and crew for now forager,0000000000000000000000000000001000000000000000,movie.starring.actor
135,who was in now,who was in now,0000000000000000000000000000001000000000000000,movie.starring.actor
136,actor from modern|family,actor from modern|family,0000000000000000000000000000001000000000000000,movie.starring.actor
137,list the actors in forager,list the actors in forager,0000000000000000000000000000001000000000000000,movie.starring.actor
138,cast and crew of go,cast and crew of go,0000000000000000000000000000001000000000000000,movie.starring.actor
139,who starred in go,who starred in go,0000000000000000000000000000001000000000000000,movie.starring.actor
140,who was the lead actress in the|hunger|games,who was the lead actress in the|hunger|games,0000000000000000000000000000001000000000000000,movie.starring.actor
141,show cast of movie request,show cast of movie request,0000000000000000000000000000001000000000000000,movie.starring.actor
142,what is the cast in resident|evil retribution,what is the cast in resident|evil retribution,0000000000000000000000000000001000000000000000,movie.starring.actor
143,list me the actors for top|gun,list me the actors for top|gun,0000000000000000000000000000001000000000000000,movie.starring.actor
144,who was the tin man in wizard|of|oz,who was the tin man in wizard|of|oz,0000000000000000000000000000001100000000000000,movie.starring.actor movie.starring.character
145,actress in hum|tum,actress in hum|tum,0000000000000000000000000000001000000000000000,movie.starring.actor
146,who was the actor in movie hum|tum,who was the actor in movie hum|tum,0000000000000000000000000000001000000000000000,movie.starring.actor
147,who is in barfi,who is in barfi,0000000000000000000000000000001000000000000000,movie.starring.actor
148,who was the lead woman in the savages,who was the lead woman in the savages,0100000000000000000000000000001000000000000000,movie.starring.actor actor.gender
149,find the name of the actor who played jack in the movie titanic,find the name of the actor who played jack in the movie titanic,0000000000000000000000000000001100000000000000,movie.starring.actor movie.starring.character
150,the name of the male lead in the movie titanic,the name of the male lead in the movie titanic,0000000000000000000000000000001000000000000000,movie.starring.actor
151,what is the name of the lead actor in the titanic,what is the name of the lead actor in the titanic,0000000000000000000000000000001000000000000000,movie.starring.actor
152,show me who played what role in go,show me who played what role in go,0000000000000000000000000000001100000000000000,movie.starring.actor movie.starring.character
153,i cannot remember the name of the actor in pretty|women,i cannot remember the name of the actor in pretty|women,0000000000000000000000000000001000000000000000,movie.starring.actor
154,what is the name of the actor who was in the|parent|trap,what is the name of the actor who was in the|parent|trap,0000000000000000000000000000001000000000000000,movie.starring.actor
155,find name of main actor in the movie the help,find name of main actor in the movie the help,0000000000000000000000000000001000000000000000,movie.starring.actor
156,looking for names of crew members of apollo|13,looking for names of crew members of apollo|13,0000000000000000000000000000001000000000000000,movie.starring.actor
157,i can't figure out the name of the lead guy in the avengers,i can't figure out the name of the lead guy in the avengers,0000000000000000000000000000001000000000000000,movie.starring.actor
158,what were the names of the ladies in facts of life,what were the names of the ladies in facts of life,0100000000000000000000000000001000000000000000,movie.starring.actor actor.gender
159,how old is spielberg,how old is spielberg,0000000000000000000000000000000000000000100000,person.date_of_birth
160,when spielberg born,when spielberg born,0000000000000000000000000000000000000000100000,person.date_of_birth
161,what is tom|cruise's birthday,what is tom|cruise's birthday,0000000000000000000000000000000000000000100000,person.date_of_birth
162,when was tom|cruise born,when was tom|cruise born,0000000000000000000000000000000000000000100000,person.date_of_birth
163,when is will|ferrell's birthday,when is will|ferrell's birthday,0000000000000000000000000000000000000000100000,person.date_of_birth
164,how old is kristen|stewart,how old is kristen|stewart,0000000000000000000000000000000000000000100000,person.date_of_birth
165,how much did it cost to produce the dark night,how much did it cost to produce the dark night,0000000000000010000000000000000000000000000000,movie.estimated_budget
166,how much did the dark night cost to produce,how much did the dark night cost to produce,0000000000000010000000000000000000000000000000,movie.estimated_budget
167,what was the dark night budget,what was the dark night budget,0000000000000010000000000000000000000000000000,movie.estimated_budget
168,the godfather's budget,the godfather's budget,0000000000000010000000000000000000000000000000,movie.estimated_budget
169,budget for the|blind|side,budget for the|blind|side,0000000000000010000000000000000000000000000000,movie.estimated_budget
170,i want to look up the budget of freedom|writers,i want to look up the budget of freedom|writers,0000000000000010000000000000000000000000000000,movie.estimated_budget
171,i would like to look up the budget of freedom|writers,i would like to look up the budget of freedom|writers,0000000000000010000000000000000000000000000000,movie.estimated_budget
172,look for the budget of freedom|writers,look for the budget of freedom|writers,0000000000000010000000000000000000000000000000,movie.estimated_budget
173,how much was hunger games made for,how much was hunger games made for,0000000000000010000000000000000000000000000000,movie.estimated_budget
174,how much was the budget for the|hunger|games,how much was the budget for the|hunger|games,0000000000000010000000000000000000000000000000,movie.estimated_budget
175,how much did black|swan cost,how much did black|swan cost,0000000000000010000000000000000000000000000000,movie.estimated_budget
176,how much did hollywood pay for black|swan,how much did hollywood pay for black|swan,0000000000000010000000000000000000000000000000,movie.estimated_budget
177,what was the budget for black|swan,what was the budget for black|swan,0000000000000010000000000000000000000000000000,movie.estimated_budget
178,what were production costs for black|swan,what were production costs for black|swan,0000000000000010000000000000000000000000000000,movie.estimated_budget
179,what was the budget for wrong|turn,what was the budget for wrong|turn,0000000000000010000000000000000000000000000000,movie.estimated_budget
180,search for the budget of step|up,search for the budget of step|up,0000000000000010000000000000000000000000000000,movie.estimated_budget
181,budget for titanic,budget for titanic,0000000000000010000000000000000000000000000000,movie.estimated_budget
182,budget for titanic,budget for titanic,0000000000000010000000000000000000000000000000,movie.estimated_budget
183,budget for titanic movie,budget for titanic movie,0000000000000010000000000000000000000000000000,movie.estimated_budget
184,how much did titanic cost to make,how much did titanic cost to make,0000000000000010000000000000000000000000000000,movie.estimated_budget
185,how much was the total budget for the titanic,how much was the total budget for the titanic,0000000000000010000000000000000000000000000000,movie.estimated_budget
186,what was titanic's budget,what was titanic's budget,0000000000000010000000000000000000000000000000,movie.estimated_budget
187,what was the budget for courageous,what was the budget for courageous,0000000000000010000000000000000000000000000000,movie.estimated_budget
188,what was the budget for facing|the|giants,what was the budget for facing|the|giants,0000000000000010000000000000000000000000000000,movie.estimated_budget
189,budget of heroine,budget of heroine,0000000000000010000000000000000000000000000000,movie.estimated_budget
190,finding the buget of heroine,finding the buget of heroine,0000000000000010000000000000000000000000000000,movie.estimated_budget
191,looking of movie heroine's budget,looking of movie heroine's budget,0000000000000010000000000000000000000000000000,movie.estimated_budget
192,what is the buget of movie heroine,what is the buget of movie heroine,0000000000000010000000000000000000000000000000,movie.estimated_budget
193,how much did it cost to make jurassic|park,how much did it cost to make jurassic|park,0000000000000010000000000000000000000000000000,movie.estimated_budget
194,what was the budget for jurassic|park,what was the budget for jurassic|park,0000000000000010000000000000000000000000000000,movie.estimated_budget
195,how much did james|cameron have to spend to make avatar,how much did james|cameron have to spend to make avatar,0000000000000110000000000000000000000000000000,movie.estimated_budget movie.directed_by
196,avatar must have cost a bundle,avatar must have cost a bundle,0000000000000010000000000000000000000000000000,movie.estimated_budget
197,did the avatar movie have a budget for spending,did the avatar movie have a budget for spending,0000000000000010000000000000000000000000000000,movie.estimated_budget
198,get me info on the budget for avatar,get me info on the budget for avatar,0000000000000010000000000000000000000000000000,movie.estimated_budget
199,how much did it cost to make avatar,how much did it cost to make avatar,0000000000000010000000000000000000000000000000,movie.estimated_budget
200,how much did the studio spend to make avatar,how much did the studio spend to make avatar,0000000000000010000000000000000000000000000000,movie.estimated_budget
201,how much money was budgeted for the avatar movie,how much money was budgeted for the avatar movie,0000000000000010000000000000000000000000000000,movie.estimated_budget
202,i need to know the budget of the movie avatar,i need to know the budget of the movie avatar,0000000000000010000000000000000000000000000000,movie.estimated_budget
203,i want to know the avatar's budget,i want to know the avatar's budget,0000000000000010000000000000000000000000000000,movie.estimated_budget
204,list the budget for avatar,list the budget for avatar,0000000000000010000000000000000000000000000000,movie.estimated_budget
205,show me what was the budget of the movie avatar,show me what was the budget of the movie avatar,0000000000000010000000000000000000000000000000,movie.estimated_budget
206,what did the movie avatar cost to make,what did the movie avatar cost to make,0000000000000010000000000000000000000000000000,movie.estimated_budget
207,what was avatar's budget,what was avatar's budget,0000000000000010000000000000000000000000000000,movie.estimated_budget
208,what was the budget for avatar,what was the budget for avatar,0000000000000010000000000000000000000000000000,movie.estimated_budget
209,what was the budget for avatar,what was the budget for avatar,0000000000000010000000000000000000000000000000,movie.estimated_budget
210,what was the budget for avatar,what was the budget for avatar,0000000000000010000000000000000000000000000000,movie.estimated_budget
211,what was the budget for the movie avatar,what was the budget for the movie avatar,0000000000000010000000000000000000000000000000,movie.estimated_budget
212,what was the budget of the movie avatar,what was the budget of the movie avatar,0000000000000010000000000000000000000000000000,movie.estimated_budget
213,how much did the movie avatar cost,how much did the movie avatar cost,0000000000000010000000000000000000000000000000,movie.estimated_budget
214,how much money was spent on batman,how much money was spent on batman,0000000000000010000000000000000000000000000000,movie.estimated_budget
215,tell me the budget for the movie batman,tell me the budget for the movie batman,0000000000000010000000000000000000000000000000,movie.estimated_budget
216,how much did batman|begins cost,how much did batman|begins cost,0000000000000010000000000000000000000000000000,movie.estimated_budget
217,how much was it to make the film batman|begins,how much was it to make the film batman|begins,0000000000000010000000000000000000000000000000,movie.estimated_budget
218,budget for the avengers,budget for the avengers,0000000000000010000000000000000000000000000000,movie.estimated_budget
219,how much did it take to make the avengers,how much did it take to make the avengers,0000000000000010000000000000000000000000000000,movie.estimated_budget
220,what was the budget for the avengers,what was the budget for the avengers,0000000000000010000000000000000000000000000000,movie.estimated_budget
221,what was the budget for citizen|kane,what was the budget for citizen|kane,0000000000000010000000000000000000000000000000,movie.estimated_budget
222,find out the budget of cujo,find out the budget of cujo,0000000000000010000000000000000000000000000000,movie.estimated_budget
223,budget for gone|with|the|wind,budget for gone|with|the|wind,0000000000000010000000000000000000000000000000,movie.estimated_budget
224,gone|with|the|wind's budget information please,gone|with|the|wind's budget information please,0000000000000010000000000000000000000000000000,movie.estimated_budget
225,gone|with|the|wind's budget,gone|with|the|wind's budget,0000000000000010000000000000000000000000000000,movie.estimated_budget
226,show me the budget for the movie,show me the budget for the movie,0000000000000010000000000000000000000000000000,movie.estimated_budget
227,budget for the hulk,budget for the hulk,0000000000000010000000000000000000000000000000,movie.estimated_budget
228,budget request for my|big|fat|greek|wedding,budget request for my|big|fat|greek|wedding,0000000000000010000000000000000000000000000000,movie.estimated_budget
229,find the budget of my|big|fat|greek|wedding,find the budget of my|big|fat|greek|wedding,0000000000000010000000000000000000000000000000,movie.estimated_budget
230,how much did my|big|fat|greek|wedding cost,how much did my|big|fat|greek|wedding cost,0000000000000010000000000000000000000000000000,movie.estimated_budget
231,what was the budget of my|big|fat|greek|wedding,what was the budget of my|big|fat|greek|wedding,0000000000000010000000000000000000000000000000,movie.estimated_budget
232,what was the budget for old|school,what was the budget for old|school,0000000000000010000000000000000000000000000000,movie.estimated_budget
233,what was the|bourne|identity's budget,what was the|bourne|identity's budget,0000000000000010000000000000000000000000000000,movie.estimated_budget
234,how much did it cost to produce the|deer|hunter,how much did it cost to produce the|deer|hunter,0000000000000010000000000000000000000000000000,movie.estimated_budget
235,provide the cost for producing the|deer|hunter,provide the cost for producing the|deer|hunter,0000000000000010000000000000000000000000000000,movie.estimated_budget
236,will you show the cost to produce the|deer|hunter,will you show the cost to produce the|deer|hunter,0000000000000010000000000000000000000000000000,movie.estimated_budget
237,what was the budget for the hobbit,what was the budget for the hobbit,0000000000000010000000000000000000000000000000,movie.estimated_budget
238,can i see what the|lion|king's budget was,can i see what the|lion|king's budget was,0000000000000010000000000000000000000000000000,movie.estimated_budget
239,show me the|lion|king's budget,show me the|lion|king's budget,0000000000000010000000000000000000000000000000,movie.estimated_budget
240,what was the budget for passion|of|the|christ,what was the budget for passion|of|the|christ,0000000000000010000000000000000000000000000000,movie.estimated_budget
241,what was the budget for top|gun,what was the budget for top|gun,0000000000000010000000000000000000000000000000,movie.estimated_budget
242,what was top|gun's budget,what was top|gun's budget,0000000000000010000000000000000000000000000000,movie.estimated_budget
243,who does ellen|degeneres play in finding|nemo,who does ellen|degeneres play in finding|nemo,0000000000000000000000000000001100000000000000,movie.starring.actor movie.starring.character
244,what character did tom|hanks play in apollo|13,what character did tom|hanks play in apollo|13,0000000000000000000000000000001100000000000000,movie.starring.actor movie.starring.character
245,lion|king characters,lion|king characters,0000000000000000000000000000000100000000000000,movie.starring.character
246,what character did will|smith play in hitch,what character did will|smith play in hitch,0000000000000000000000000000001100000000000000,movie.starring.actor movie.starring.character
247,what role did sarah|polley play in go,what role did sarah|polley play in go,0000000000000000000000000000001100000000000000,movie.starring.actor movie.starring.character
248,what was kevin|james role in hitch,what was kevin|james role in hitch,0000000000000000000000000000001100000000000000,movie.starring.actor movie.starring.character
249,who directed the music in gone|with|the|wind,who directed the music in gone|with|the|wind,0000000000000000000001000000000000000000000000,movie.music
250,show me the music composer for the movie,show me the music composer for the movie,0000000000000000000001000000000000000000000000,movie.music
251,who directed the musical score in barfi,who directed the musical score in barfi,0000000000000000000001000000000000000000000000,movie.music
252,how many films did ed|harris do with tom|hanks,how many films did ed|harris do with tom|hanks,0000000000000000000000000000001000000000000000,movie.starring.actor
253,how many movies were released on nine twenty eight twelve,how many movies were released on nine twenty eight twelve,0000000000000000010000000000000000000000000000,movie.initial_release_date
254,how many movies were filmed in asia,how many movies were filmed in asia,0000000000000000000100000000000000000000000000,movie.locations
255,how many films directed by barbra|streisand have been shot in the czech republic,how many films directed by barbra|streisand have been shot in the czech republic,0000000000000100000100000000000000000000000000,movie.locations movie.directed_by
256,how many movies has albert|ruddy produced,how many movies has albert|ruddy produced,0000000000000000000000100000000000000000000000,movie.produced_by
